epoch,s_per_epoch,total,contrib_pde,contrib_bc,contrib_ic,contrib_interface,contrib_pde_mech,contrib_bc_mech
0,0.569821,8.130824e+06,1.300107e+01,6.016982e-01,3.579316e+00,3.992434e-04,8.130787e+06,1.990574e+01
1,0.548511,3.675871e+06,4.904716e+00,4.979448e-01,1.663275e+00,4.303561e-04,3.675857e+06,7.680805e+00
2,0.550872,2.230786e+06,1.952822e+00,4.473839e-01,1.212397e+00,3.445853e-04,2.230778e+06,4.995179e+00
3,0.547877,1.528048e+06,6.220182e-01,4.191397e-01,1.160937e+00,2.412700e-04,1.528042e+06,3.387231e+00
4,0.545251,1.169441e+06,5.919908e-01,4.014173e-01,1.272547e+00,1.668820e-04,1.169435e+06,3.349454e+00
5,0.548042,9.077745e+05,1.842903e-02,3.908616e-01,1.472240e+00,1.196326e-04,9.077687e+05,3.895218e+00
6,0.551691,7.194738e+05,2.091282e-02,3.891199e-01,1.729454e+00,8.886647e-05,7.194673e+05,4.330497e+00
7,0.546580,5.947919e+05,1.966203e-02,3.966559e-01,2.021580e+00,7.027915e-05,5.947849e+05,4.492285e+00
8,0.548286,5.071596e+05,1.038239e-01,4.115358e-01,2.318565e+00,5.808782e-05,5.071524e+05,4.433922e+00
9,0.545966,4.343624e+05,1.177803e-01,4.305187e-01,2.584528e+00,4.910449e-05,4.343550e+05,4.230937e+00
10,0.544257,3.677271e+05,7.956255e-03,4.504057e-01,2.795342e+00,4.275048e-05,3.677199e+05,3.931743e+00
11,0.548431,3.110816e+05,1.863735e-02,4.685945e-01,2.944050e+00,3.652501e-05,3.110746e+05,3.579030e+00
12,0.544992,2.675855e+05,1.047718e-02,4.836847e-01,3.038464e+00,3.125974e-05,2.675788e+05,3.216263e+00
13,0.548768,2.342223e+05,1.241236e-02,4.957384e-01,3.094273e+00,2.641815e-05,2.342158e+05,2.880838e+00
14,0.546753,2.070585e+05,4.778041e-03,5.057132e-01,3.126429e+00,2.273122e-05,2.070523e+05,2.600418e+00
15,0.548062,1.839672e+05,8.796044e-02,5.146798e-01,3.144108e+00,1.988549e-05,1.839610e+05,2.393736e+00
16,0.547356,1.646247e+05,1.178292e-02,5.227117e-01,3.146711e+00,1.777710e-05,1.646188e+05,2.267380e+00
17,0.544975,1.491706e+05,7.384024e-03,5.302173e-01,3.134691e+00,1.621183e-05,1.491647e+05,2.216004e+00
18,0.546742,1.363914e+05,9.415562e-03,5.361948e-01,3.102592e+00,1.506000e-05,1.363855e+05,2.217764e+00
19,0.546216,1.238685e+05,1.315794e-02,5.395246e-01,3.046751e+00,1.419755e-05,1.238627e+05,2.244619e+00
20,0.548968,1.100017e+05,8.221265e-03,5.392762e-01,2.966607e+00,1.354888e-05,1.099959e+05,2.272345e+00
21,0.556785,9.528739e+04,2.052479e-02,5.352473e-01,2.866161e+00,1.312354e-05,9.528168e+04,2.286794e+00
22,0.549274,8.157645e+04,7.351920e-03,5.279851e-01,2.752813e+00,1.288972e-05,8.157088e+04,2.283216e+00
23,0.546045,7.052191e+04,7.228054e-03,5.185839e-01,2.635423e+00,1.281072e-05,7.051649e+04,2.262558e+00
24,0.547404,6.256126e+04,9.894367e-03,5.083496e-01,2.522258e+00,1.282239e-05,6.255599e+04,2.228226e+00
